member_id,subscriber_id,policy_number,ssn,last_name,first_name,middle_initial,date_of_birth,gender,street_address,city,state,zip_code,country,phone,email,coverage_status,medicare_plan,plan_id,plan_name,plan_type,effective_date,termination_date,termination_reason,relationship_code,transaction_type,action_code,sponsor_id,insurance_line
SUBP70R91OY,SUBP70R91OY,POL82832851,896-56-4292,Price,Rema,,1983-03-09,F,80 North Van Horn Route,Meriden,WI,46113,US,+16618672387,watson1841@live.com,A,,DH-P8768B,Bronze Plan,HDHP,2024-06-07,,,18,030,2,SPON083860,HLT
SUBTE9DT3Z6,SUBTE9DT3Z6,POL28326831,598-98-7092,Petty,Erwin,,2002-11-09,M,1266 Yale Motorway,Phenix City,MN,02619,US,+1-959-332-8204,patients1889@protonmail.com,A,,DH-P3091B,Platinum Plan,EPO,2024-02-07,,,18,001,4,SPON142350,HLT
SUBTZKP7WUZ,SUBTZKP7WUZ,POL52364459,337-40-2792,Flynn,Miki,,1945-07-25,F,657 Seal Cove Center,Plymouth,SD,09613,US,+12536271800,retain1933@yandex.com,A,C,DH-P8768B,Bronze Plan,HDHP,2023-12-12,,,18,024,2,SPON942099,HLT
SUBNX8F2EFT,SUBNX8F2EFT,POL38127761,813-83-7823,Powell,Francoise,,1961-08-11,M,213 Merriam Landing,Trussville,MO,39491,US,+1-763-204-5015,radiation1869@outlook.com,A,,DH-P3156C,Silver Plan,HMO,2024-07-25,,,18,024,4,SPON239960,HLT
SUB9ESK3CDQ,SUB9ESK3CDQ,POL33308306,644-37-9167,Carlson,Earlean,,1990-05-01,M,997 Santa Ysabel Trace,Redondo Beach,AR,74707,US,+1-319-971-1848,picks2034@protonmail.com,A,E,DH-P3091B,Platinum Plan,EPO,2025-07-23,,,18,021,2,SPON484640,HLT
SUBR4CTBV0I,SUBR4CTBV0I,POL84780154,419-81-6635,Fox,Apolonia,,1940-04-22,M,148 Kittredge Pass,Tallmadge,AK,79177,US,+15675399530,central1875@duck.com,S,A,DH-P3091B,Platinum Plan,EPO,2024-11-26,,,18,021,4,SPON492673,HLT
SUBDI9SVXPD,SUBDI9SVXPD,POL52768544,599-81-6768,Martin,Kathyrn,,1950-11-05,F,690 Ggp Access Road Alley,Oak Park,AR,99550,US,+12748037425,driver2016@yandex.com,A,,DH-P3091B,Platinum Plan,EPO,2024-03-23,,,18,030,4,SPON723224,HLT
SUB966DIF0P,SUB966DIF0P,POL73414793,278-46-4691,Booker,Gerry,,1970-10-23,M,91 Franconia Heights,Plant City,NM,88075,US,+1-951-039-3072,requested2018@gmail.com,A,,DH-P3156C,Silver Plan,HMO,2024-10-29,,,18,024,4,SPON632340,HLT
SUB94Z9P6PV,SUB94Z9P6PV,POL77871870,012-57-8118,Morris,Lenard,,2003-01-14,M,100 Battery Cranston Manor,Weslaco,AR,56965,US,+1-762-069-6406,tft1933@duck.com,A,,DH-P3678B,Gold Plan,PPO,2025-07-15,,,18,001,2,SPON216322,HLT
SUBF3QCYWO8,SUBF3QCYWO8,POL41968611,771-95-5913,Nguyen,Morgan,,1989-09-28,M,857 Lathrop Arcade,Millville,MI,47173,US,+1-502-484-5935,europe1819@yandex.com,A,,DH-P8768B,Bronze Plan,HDHP,2025-10-17,,,18,021,4,SPON481238,HLT
SUB3V2A4L8J,SUB3V2A4L8J,POL64996435,071-88-8466,Kaufman,Azucena,,1968-07-15,M,775 Allison Terrace,Edina,OH,59342,US,+18649053354,personalized1961@yandex.com,A,,DH-P8768B,Bronze Plan,HDHP,2024-05-28,,,18,024,2,SPON146036,HLT
SUBX70N145C,SUBX70N145C,POL19086356,796-58-0098,Hopkins,Hugh,,2003-06-02,M,1149 San Juan Turnpike,Westbrook,AR,02228,US,+16121077264,owen1818@duck.com,A,,DH-P3109C,Catastrophic Plan,HDHP,2025-04-13,,,18,001,4,SPON584409,HLT
