claim_id,member_id,provider_id,provider_npi,provider_tax_id,provider_last_name,provider_first_name,provider_specialty,provider_street,provider_city,provider_state,provider_zip,member_last_name,member_first_name,member_dob,member_gender,service_date,billed_amount,claim_status,claim_frequency_code,claim_source_code,facility_type_code,location_type,procedure_code,procedure_description,diagnosis_codes,submission_date,enrollment_id
CLM2025664471,SUBHVW8PER0,PROVKHC1GW8I,5697190079,TAX787583833,Foreman,Ivelisse,Cardiology,4321 Alvarado Causeway Suite 259,Hutchinsonborough,NC,33632,Lucas,Dick,1956-06-03,F,2024-10-13,11435.16,2,1,01,23,ER,99282,Medical service,F32.9|I25.10,2025-11-23,ENR89461056
CLM2025984965,SUBULGKDP1U,PROVHS2XVID6,4133659657,TAX901955818,Leblanc,Irving,Internal Medicine,417 Kristin Views,North Dawn,MD,38869,Cotton,Thanh,1977-10-12,F,2025-11-18,12472.93,22,1,01,11,OFFICE,99245,Medical service,E78.5,2025-11-23,ENR02236870
CLM2025902239,SUBFHMDOCTC,PROVWTSQ0AH1,0415683619,TAX435921702,Cantrell,Ashley,Pediatrics,5409 Alejandro Pike Apt. 719,New Carl,KY,38199,Hyde,James,1937-01-16,F,2024-12-19,11596.45,3,1,01,23,ER,99213,Office/outpatient visit est,Z13.9,2025-11-23,ENR94580758
CLM2025582387,SUBKEU5R89V,PROVP873IC5O,7362339577,TAX689124925,Robinson,Damian,Cardiology,0870 Kelly Neck Suite 643,East Matthew,TN,71435,Scott,Avery,1961-03-20,M,2025-09-30,12576.72,2,1,01,23,ER,99281,Medical service,E11.65,2025-11-23,ENR11454420
CLM2025086214,SUBNTUIYLEZ,PROVP873IC5O,7362339577,TAX689124925,Robinson,Damian,Cardiology,0870 Kelly Neck Suite 643,East Matthew,TN,71435,Dean,Annamae,1976-05-01,F,2025-09-23,10162.96,4,1,01,11,OFFICE,99214,Office/outpatient visit est,E11.65,2025-11-23,ENR64087693
CLM2025699448,SUBBTCWU458,PROVO2IITRD6,4230245351,TAX938575284,Sargent,Lawerence,Cardiology,26689 Morrison Parkways Apt. 780,Jackietown,IL,63861,Richard,Sydney,1948-10-28,M,2025-01-25,2886.73,4,1,01,23,ER,99282,Medical service,E78.5|E11.65|I10,2025-11-23,ENR41609943
CLM2025240973,SUBXB7D6P7A,PROVGW9LEDXI,8027320541,TAX317115554,Schmidt,Dreama,Pediatrics,5306 Hamilton Street Suite 892,Coreychester,VI,55394,Curtis,Mathew,1976-09-03,M,2025-01-11,11365.88,4,1,01,23,ER,99284,Medical service,N18.6|M54.5|I10,2025-11-23,ENR40173262
CLM2025074596,SUBPR1PTW9J,PROV7MSMSTTG,5681807603,TAX813158354,Stark,Zackary,Pediatrics,9664 Sarah Gardens,Barbarafurt,DC,44266,Holcomb,Petrina,1971-10-04,M,2025-04-29,11965.82,20,1,01,22,OUTPATIENT,99245,Medical service,M54.5|I10,2025-11-23,ENR78224894
CLM2025708277,SUB11EO1FPS,PROVDBI3IU29,6237907166,TAX126029534,Sears,Sammy,Cardiology,827 Wagner Bypass Apt. 415,Port Michaelview,KS,29978,Hurley,Tayna,2000-06-27,M,2025-01-14,5645.44,4,1,01,23,ER,99214,Office/outpatient visit est,I25.10|E11.9|J44.1,2025-11-23,ENR73302983
CLM2025868260,SUBGTQZIP4N,PROVP873IC5O,7362339577,TAX689124925,Robinson,Damian,Cardiology,0870 Kelly Neck Suite 643,East Matthew,TN,71435,Frye,Cristie,1940-09-22,F,2025-03-26,10866.80,1,1,01,23,ER,99203,Office/outpatient visit new,N18.6,2025-11-23,ENR87813804
